category,message,table_role,source_row_excel
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,201.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,201.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,201.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,202.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,202.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,202.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,202.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,203.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,203.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,203.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,203.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,204.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,204.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,204.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,204.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,205.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,205.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,205.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,205.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,206.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,206.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,206.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,206.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,207.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,207.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,207.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,207.0
insufficient_bhar_data,T=120: short_post_window,daily_bhar,2.0
insufficient_bhar_data,T=250: short_post_window,daily_bhar,2.0
missing_completion_coverage,No daily panel contains the completion date for re-anchored completion analysis,completion_daily,3.0
insufficient_bhar_data,T=120: short_post_window,daily_bhar,4.0
insufficient_bhar_data,T=250: short_post_window,daily_bhar,4.0
insufficient_bhar_data,T=250: short_post_window,daily_bhar,5.0
insufficient_bhar_data,T=250: short_post_window,daily_bhar,7.0
insufficient_bhar_data,T=120: short_post_window,daily_bhar,10.0
insufficient_bhar_data,T=250: short_post_window,daily_bhar,10.0
insufficient_bhar_data,T=250: short_post_window,daily_bhar,19.0
